id,player_name,player_age,player_position,club_left,club_joined,transfer_fee
386001,Bryan Gil,20,Left Winger,Sevilla FC,Tottenham Hotspur,€12.00m
386002,Rodrigo Bentancur,24,Central Midfield,Juventus,Tottenham Hotspur,€40.00m
386003,Pape Matar Sarr,18,Central Midfield,FC Metz,Tottenham Hotspur,€15.00m
386004,Dejan Kulusevski,21,Right Winger,Juventus,Tottenham Hotspur,€55.00m
386005,Cristian Romero,23,Centre-Back,Atalanta BC,Tottenham Hotspur,€60.00m
386006,Pierluigi Gollini,26,Goalkeeper,Atalanta BC,Tottenham Hotspur,€5.00m
386007,Cameron Carter-Vickers,24,Centre-Back,Celtic,Tottenham Hotspur,€11.00m
386008,Brandon Austin,22,Goalkeeper,Tottenham U23,Tottenham Hotspur,€300k
386009,Jack Clarke,21,Left Winger,Sunderland,Tottenham Hotspur,€8.00m
386010,Alfie Whiteman,23,Goalkeeper,Degerfors,Tottenham Hotspur,€500k
386011,Paulo Gazzaniga,29,Goalkeeper,Elche CF,Tottenham Hotspur,€2.50m
386012,Ryan Sessegnon,21,Left Midfield,TSG Hoffenheim,Tottenham Hotspur,€22.00m
386013,Juan Foyth,23,Right-Back,Villarreal,Tottenham Hotspur,€25.00m
386014,Juan Foyth,23,Right-Back,Tottenham Hotspur,Villarreal,€25.00m
386015,Toby Alderweireld,32,Centre-Back,Tottenham Hotspur,Al-Duhail SC,€4.00m
386016,Moussa Sissoko,32,Central Midfield,Tottenham Hotspur,Watford,€3.50m
386017,Tanguy Ndombélé,25,Central Midfield,Tottenham Hotspur,Olympique Lyon,€25.00m
386018,Joe Hart,34,Goalkeeper,Tottenham Hotspur,Celtic,€1.70m
386019,Bryan Gil,20,Left Winger,Tottenham Hotspur,Valencia,€12.00m
386020,Dele Alli,25,Attacking Midfield,Tottenham Hotspur,Everton,€11.00m
386021,Erik Lamela,29,Right Winger,Tottenham Hotspur,Sevilla FC,€10.00m
386022,Paulo Gazzaniga,29,Goalkeeper,Tottenham Hotspur,Fulham,€2.50m
386023,Danny Rose,30,Left-Back,Tottenham Hotspur,Watford,€1.00m
386024,Pape Matar Sarr,18,Central Midfield,Tottenham Hotspur,FC Metz,€15.00m
386025,Jack Clarke,21,Left Winger,Tottenham Hotspur,Sunderland,€8.00m
386026,Giovani Lo Celso,25,Central Midfield,Tottenham Hotspur,Villarreal,€18.00m
386027,Alfie Whiteman,23,Goalkeeper,Tottenham Hotspur,Degerfors,€500k
386028,Alfie Whiteman,22,Goalkeeper,Tottenham Hotspur,Degerfors,€500k
386029,Cameron Carter-Vickers,23,Centre-Back,Tottenham Hotspur,Celtic,€11.00m
386030,Carlos Vinícius,26,Centre-Forward,Tottenham Hotspur,Benfica,€5.00m
386031,Gareth Bale,31,Right Winger,Tottenham Hotspur,Real Madrid,-
386032,Imrân Louza,22,Central Midfield,FC Nantes,Watford FC,€9.00m
386033,Maduka Okoye,22,Goalkeeper,Sparta R.,Watford FC,€2.50m
386034,Samir Caetano,27,Centre-Back,Udinese Calcio,Watford FC,€7.00m
386035,Edo Kayembe,23,Defensive Midfield,KAS Eupen,Watford FC,€5.00m
386036,Emmanuel Dennis,23,Centre-Forward,Club Brugge,Watford FC,€10.00m
386037,Hassane Kamara,27,Left-Back,OGC Nice,Watford FC,€8.00m
386038,Moussa Sissoko,32,Central Midfield,Tottenham,Watford FC,€3.50m
386039,Yaser Asprilla,18,Attacking Midfield,Envigado,Watford FC,€3.00m
386040,Samuel Kalu,24,Right Winger,G. Bordeaux,Watford FC,€3.00m
386041,Ozan Tufan,26,Central Midfield,Fenerbahce,Watford FC,€3.20m
386042,Mattie Pollock,19,Centre-Back,Grimsby Town,Watford FC,€300k
386043,Joshua King,29,Centre-Forward,Everton,Watford FC,€6.00m
386044,Kwadwo Baah,18,Left Winger,Rochdale,Watford FC,€400k
386045,Ashley Fletcher,25,Centre-Forward,Middlesbrough,Watford FC,€800k
386046,Danny Rose,30,Left-Back,Tottenham,Watford FC,€1.00m
386047,Peter Etebo,25,Central Midfield,Stoke City,Watford FC,€1.50m
386048,Juraj Kucka,34,Central Midfield,Parma,Watford FC,€1.50m
386049,Kwasi Sibo,23,Central Midfield,UD Ibiza,Watford FC,€200k
386050,Domingos Quina,21,Central Midfield,Granada CF,Watford FC,€1.80m
386051,Jerome Sinclair,24,Centre-Forward,CSKA-Sofia,Watford FC,-
386052,Pontus Dahlberg,23,Goalkeeper,Gillingham FC,Watford FC,€1.00m
386053,Jorge Segura,24,Centre-Back,Atl. Nacional,Watford FC,€250k
386054,Domingos Quina,22,Central Midfield,Barnsley FC,Watford FC,€1.80m
386055,Cucho Hernández,22,Centre-Forward,Getafe,Watford FC,€10.00m
386056,Pontus Dahlberg,22,Goalkeeper,Doncaster,Watford FC,€1.00m
386057,Domingos Quina,22,Central Midfield,Fulham,Watford FC,€1.80m
386058,Andre Gray,30,Centre-Forward,QPR,Watford FC,€2.00m
386059,Philip Zinckernagel,27,Right Winger,Nottm Forest,Watford FC,€3.50m
386060,Tom Dele-Bashiru,22,Central Midfield,Reading,Watford FC,€2.00m
386061,Mattie Pollock,20,Centre-Back,Cheltenham,Watford FC,€300k
386062,Will Hughes,26,Central Midfield,Watford FC,Crystal Palace,€5.00m
386063,Craig Dawson,31,Centre-Back,Watford FC,West Ham,€2.50m
386064,Isaac Success,25,Centre-Forward,Watford FC,Udinese Calcio,€4.00m
386065,Ben Wilmot,21,Centre-Back,Watford FC,Stoke City,€6.00m
386066,Henry Ochieng,22,Central Midfield,Watford FC,Hemel,-
386067,Troy Deeney,33,Centre-Forward,Watford FC,Birmingham,€600k
386068,Kwasi Sibo,23,Central Midfield,Watford FC,Betis Deportivo,€200k
386069,Filip Stuparevic,20,Centre-Forward,Watford FC,Metalac,-
386070,Nathaniel Chalobah,26,Defensive Midfield,Watford FC,Fulham,€2.50m
386071,Achraf Lazaar,29,Left-Back,Watford FC,Portimonense,€300k
386072,Pontus Dahlberg,22,Goalkeeper,Watford FC,Doncaster,€1.00m
386073,Maduka Okoye,22,Goalkeeper,Watford FC,Sparta R.,€2.50m
386074,Domingos Quina,21,Central Midfield,Watford FC,Fulham,€1.80m
386075,Pontus Dahlberg,22,Goalkeeper,Watford FC,Gillingham FC,€1.00m
386076,Stipe Perica,26,Centre-Forward,Watford FC,M. Tel Aviv,€1.50m
386077,Andre Gray,30,Centre-Forward,Watford FC,QPR,€2.00m
386078,Ashley Fletcher,26,Centre-Forward,Watford FC,New York RB,€800k
386079,Mattie Pollock,19,Centre-Back,Watford FC,Cheltenham,€300k
386080,Domingos Quina,22,Central Midfield,Watford FC,Barnsley FC,€1.80m
386081,Yaser Asprilla,18,Attacking Midfield,Watford FC,Envigado,€3.00m
386082,Tom Dele-Bashiru,21,Central Midfield,Watford FC,Reading,€2.00m
386083,Jorge Segura,24,Centre-Back,Watford FC,CD América,€250k
386084,Philip Zinckernagel,26,Right Winger,Watford FC,Nottm Forest,€3.50m
386085,Adalberto Peñaranda,24,Left Winger,Watford FC,UD Las Palmas,€600k
386086,Ozan Tufan,26,Central Midfield,Watford FC,Fenerbahce,€3.20m
386087,Peter Etebo,26,Central Midfield,Watford FC,Stoke City,€1.50m
386088,Kurt Zouma,26,Centre-Back,Chelsea,West Ham United,€28.00m
386089,Nikola Vlasic,23,Attacking Midfield,CSKA Moscow,West Ham United,€20.00m
386090,Alex Kral,23,Defensive Midfield,Spartak Moscow,West Ham United,€5.50m
386091,Craig Dawson,31,Centre-Back,Watford,West Ham United,€2.50m
386092,Alphonse Areola,28,Goalkeeper,Paris SG,West Ham United,€8.00m
386093,Frederik Alves,22,Centre-Back,Sunderland,West Ham United,€600k
386094,Conor Coventry,22,Defensive Midfield,MK Dons,West Ham United,€1.50m
386095,Conor Coventry,21,Defensive Midfield,Peterborough,West Ham United,€1.50m
386096,Felipe Anderson,28,Right Winger,FC Porto,West Ham United,€15.00m
386097,Xande Silva,24,Right Winger,Aris Saloniki,West Ham United,€600k
386098,Felipe Anderson,28,Right Winger,West Ham United,Lazio,€15.00m
386099,Frederik Alves,22,Centre-Back,West Ham United,Bröndby IF,€600k
386100,Xande Silva,24,Right Winger,West Ham United,Nottm Forest,€600k
386101,Fabián Balbuena,29,Centre-Back,West Ham United,Dynamo Moscow,€6.00m
386102,Frederik Alves,21,Centre-Back,West Ham United,Sunderland,€600k
386103,Conor Coventry,21,Defensive Midfield,West Ham United,Peterborough,€1.50m
386104,Conor Coventry,21,Defensive Midfield,West Ham United,MK Dons,€1.50m
386105,Rayan Aït-Nouri,20,Left-Back,Angers SCO,Wolverhampton Wanderers,€22.00m
386106,José Sá,28,Goalkeeper,Olympiacos,Wolverhampton Wanderers,€18.00m
386107,Trincão,21,Right Winger,Barcelona,Wolverhampton Wanderers,€15.00m
386108,Yerson Mosquera,20,Centre-Back,Atl. Nacional,Wolverhampton Wanderers,€3.00m
386109,Chiquinho,21,Left Winger,Estoril Praia,Wolverhampton Wanderers,€2.50m
386110,Bendegúz Bolla,21,Right-Back,Fehérvár,Wolverhampton Wanderers,€2.70m
386111,Sang-bin Jeong,19,Centre-Forward,Suwon Bluewings,Wolverhampton Wanderers,€2.00m
386112,Hayao Kawabe,26,Central Midfield,Grasshoppers,Wolverhampton Wanderers,€2.00m
386113,Louie Moulden,19,Goalkeeper,Man City U23,Wolverhampton Wanderers,€200k
386114,Hee-chan Hwang,25,Centre-Forward,RB Leipzig,Wolverhampton Wanderers,€12.00m
386115,Luke Cundle,19,Central Midfield,Wolves U21,Wolverhampton Wanderers,€1.00m
386116,Matija Sarkic,24,Goalkeeper,Birmingham,Wolverhampton Wanderers,€2.00m
386117,Rafa Mir,24,Centre-Forward,SD Huesca,Wolverhampton Wanderers,€10.00m
386118,Louie Moulden,20,Goalkeeper,Ebbsfleet,Wolverhampton Wanderers,€200k
