id,name,full_name,age,nationality,team_name,position,season
283289,A. Raikhy,Arjan Singh Raikhy,20,England,Aston Villa,Midfielder,2022
284286,Isaac Mabaya,Isaac Mabaya,18,England,Liverpool,Midfielder,2022
284361,R. Vítek,Radek Vítek,19,Czech Republic,Manchester United,Goalkeeper,2022
284362,B. Hardley,Björn Bryan Hardley,20,Netherlands,Manchester United,Defender,2022
284391,S. Murray,Sam Murray,18,England,Manchester United,Defender,2022
284556,T. O&apos;Reilly,Tommi Dylan O'Reilly,19,England,Aston Villa,Midfielder,2022
288106,Marc Jurado,Marc Jurado Gómez,18,Spain,Manchester United,Defender,2022
288115,James Storer,James Storer,,England,Wolves,Goalkeeper,2022
291022,Joshua Keeley,Joshua Keeley,19,Republic of Ireland,Tottenham,Goalkeeper,2022
303010,D. Gore,Daniel Gore,18,England,Manchester United,Midfielder,2022
312118,J. Feeney,Joshua Feeney,17,England,Aston Villa,Defender,2022
328101,T. Fredricson,Tyler Fredricson,17,England,Manchester United,Defender,2022
1131,A. Oko-Flex,Armstrong Echezolachukwu Inya Oko-Flex,21,Republic of Ireland,West Ham,Attacker,2022
1649,P. Cutrone,Patrick Cutrone,25,Italy,Wolves,Attacker,2022
153408,D. Oyegoke,Daniel Oladele Akinbiyi Oyegoke,20,England,Brentford,Defender,2022
154807,Daniel Chesters,Daniel Chesters,20,England,West Ham,Midfielder,2022
162114,D. Rankine,Dion Joseph Rankine,21,England,Chelsea,Midfielder,2022
180866,Marcelo,Marcelo de Araújo Pitaluga Filho,20,Brazil,Liverpool,Goalkeeper,2022
181796,J. Brooking,Joshua Royston Brooking,21,England,Chelsea,Defender,2022
196000,B. Genesini,Brooklyn David Anthony Genesini,22,England,Bournemouth,Defender,2022
284253,D. Corness,Dominic Corness,19,England,Liverpool,Midfielder,2022
284406,A. Gilchrist,Alfie Gilchrist,20,England,Chelsea,Defender,2022
284427,Lewis James Payne,Lewis James Payne,19,England,Southampton,Defender,2022
284442,C. Webster,Charles Clive Webster,19,England,Chelsea,Midfielder,2022
284459,M. Mothersille,Malik Maine Mothersille,20,England,Chelsea,Attacker,2022
284493,T. Adaramola,Omotayo Daniel Adaramola,19,Republic of Ireland,Crystal Palace,Defender,2022
284539,H. Graczyk,Hubert Graczyk,19,England,Arsenal,Goalkeeper,2022
284557,Z. Monlouis,Zane Monlouis,19,England,Arsenal,Defender,2022
286764,Kaide Gordon,Kaide Gordon,19,England,Liverpool,Attacker,2022
287111,F. Mrozek,Fabian Mrozek,19,Poland,Liverpool,Goalkeeper,2022
313245,M. Lewis-Skelly,Myles Anthony Lewis-Skelly,16,England,Arsenal,Midfielder,2022
331563,M. Burstow,Mason Paul James Burstow,20,England,Chelsea,Attacker,2022
76,M. Nakamba,Marvelous Nakamba,29,Zimbabwe,Aston Villa,Midfielder,2022
632,C. Gomes,Claudio Amarildo Gomes,23,France,Manchester City,Midfielder,2022
18777,M. Albrighton,Marc Kevin Albrighton,34,England,Leicester,Midfielder,2022
18803,N. Chalobah,Nathaniel Nyakie Chalobah,29,England,Fulham,Midfielder,2022
19356,E. Marcondes,Emiliano Marcondes Camargo Hansen,28,Denmark,Bournemouth,Attacker,2022
19393,J. Onomah,Joshua Oghenetega Peter Onomah,26,England,Fulham,Midfielder,2022
19860,M. Clarke,Matthew Edward Barkell Clarke,27,England,Brighton,Defender,2022
37440,H. Dervişoğlu,Halil İbrahim Dervişoğlu,24,Türkiye,Brentford,Attacker,2022
137302,C. Archer,Cameron Desmond Archer,22,England,Aston Villa,Attacker,2022
153411,C. Drameh,Cody Callum Pierre Drameh,22,England,Leeds,Defender,2022
157997,A. Diallo,Amad Diallo Traoré,21,Côte d'Ivoire,Manchester United,Attacker,2022
161948,L. Delap,Liam Rory Delap,20,England,Manchester City,Attacker,2022
162590,T. Morton,Tyler Scott Morton,21,England,Liverpool,Midfielder,2022
195106,Rodrigo Muniz,Rodrigo Muniz Carvalho,22,Brazil,Fulham,Attacker,2022
215874,T. Cannon,Thomas Christopher Cannon,21,Republic of Ireland,Everton,Attacker,2022
231029,N. Tella,Nathan Adewale Temitayo Tella,24,England,Southampton,Midfielder,2022
278128,J. Wilson-Esbrand,Joshua Darius Kamani Wilson-Esbrand,21,England,Manchester City,Defender,2022
278232,P. Ekwah,Pierre-Emmanuel Ekwah Elimby,21,France,West Ham,Midfielder,2022
284405,B. Elliott,Benjamin Njongoue Elliott,21,England,Chelsea,Midfielder,2022
311520,Marquinhos,Marcus Vinícius Oliveira Alencar,20,Brazil,Arsenal,Attacker,2022
906,T. Chong,Tahith Jose Chong,24,Netherlands,Manchester United,Midfielder,2022
17448,J. Smith,Jordan Clifford Smith,29,England,Nottingham Forest,Goalkeeper,2022
18779,H. Choudhury,Hamza Dewan Choudhury,26,England,Leicester,Midfielder,2022
18820,C. Coventry,Conor James Coventry,23,Republic of Ireland,West Ham,Midfielder,2022
18885,K. Darlow,Karl Darlow,33,England,Newcastle,Goalkeeper,2022
18972,A. Knockaert,Anthony Patrick Knockaert,32,France,Fulham,Midfielder,2022
19173,M. Šarkić,Matija Šarkić,26,Montenegro,Wolves,Goalkeeper,2022
19177,K. Hause,Kortney Paul Duncan Hause,28,England,Aston Villa,Defender,2022
19182,A. Tuanzebe,Axel Tuanzebe,26,England,Manchester United,Defender,2022
19185,K. Davis,Keinan Vincent Joseph Davis,25,England,Aston Villa,Attacker,2022
19454,B. Pearson,Benjamin David Pearson,28,England,Bournemouth,Midfielder,2022
19569,J. Gelhardt,Joseph Paul Gelhardt,21,England,Leeds,Attacker,2022
19831,T. Fosu,Tariqe Fosu,28,Ghana,Brentford,Midfielder,2022
149564,L. Cundle,Luke James Cundle,21,England,Wolves,Midfielder,2022
180560,H. Mejbri,Hannibal Mejbri,20,Tunisia,Manchester United,Midfielder,2022
284500,T. Iroegbunam,Timothy Emeka Iroegbunam,20,England,Aston Villa,Midfielder,2022
297187,L. Hjelde,Leo Fuhr Hjelde,20,Norway,Leeds,Defender,2022
328808,M. Ebiowei,Malcolm Perewari Ebiowei,20,England,Crystal Palace,Attacker,2022
68127,K. Watts,Kelland John William James Watts,24,England,Newcastle,Defender,2022
126791,N. Broadhead,Nathan Paul Broadhead,25,Wales,Everton,Attacker,2022
138793,H. White,Harvey David White,22,England,Tottenham,Midfielder,2022
151756,W. Dennis,William Jonathan Dennis,23,England,Bournemouth,Goalkeeper,2022
153407,N. Butler-Oyedeji,Nathan Jerome Chatoyer Butler-Oyedeji,20,England,Arsenal,Midfielder,2022
158432,C. Campbell,Chem Campbell,21,Wales,Wolves,Midfielder,2022
158698,J. Quansah,Jarell Amorin Quansah,20,England,Liverpool,Defender,2022
163054,S. Shoretire,Shola Maxwell Shoretire,19,England,Manchester United,Attacker,2022
180289,C. Saydee,Christian Saydee,21,England,Bournemouth,Attacker,2022
191971,J. Stansfield,Jay Stansfield,21,England,Fulham,Attacker,2022
266203,J. Gordon,John-Kymani Linton Michael Gordon,20,England,Crystal Palace,Attacker,2022
270357,K. Phillips,Killian Phillips,21,Republic of Ireland,Crystal Palace,Midfielder,2022
278129,L. Mbete,Luke Mbete-Tabu,20,England,Manchester City,Defender,2022
280672,E. Turns,Edward James Turns,21,Wales,Brighton,Defender,2022
283290,K. McAteer,Kasey McAteer,22,England,Leicester,Midfielder,2022
284059,L. Plange,Luke Elliot Plange,21,England,Crystal Palace,Attacker,2022
284266,L. Warrington,Lewis Wesley Warrington,21,England,Everton,Midfielder,2022
284423,R. Finnigan,Ryan James Finnigan,20,England,Southampton,Midfielder,2022
284449,J. Rak-Sakyi,Jesurun Rak-Sakyi,21,England,Crystal Palace,Midfielder,2022
339138,D. Taylor,Dale Taylor,20,Northern Ireland,Nottingham Forest,Attacker,2022
182,H. Winks,Harry Billy Winks,27,England,Tottenham,Midfielder,2022
279,L. Mbe Soh,Loïc Junior Mbe Soh,22,France,Nottingham Forest,Defender,2022
566,Ferro,Francisco Reis Ferreira,26,Portugal,Vitesse,Defender,2022
662,T. Ndombélé,Tanguy Ndombélé Alvaro,27,France,Tottenham,Midfielder,2022
842,N. Vlašić,Nikola Vlašić,26,Croatia,West Ham,Midfielder,2022
855,João Cancelo,João Pedro Cavaco Cancelo,29,Portugal,Manchester City,Defender,2022
874,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,38,Portugal,Manchester United,Attacker,2022
1166,T. Werner,Timo Werner,27,Germany,Chelsea,Attacker,2022
2279,E. Ampadu,Ethan Kwame Colm Raymond Ampadu,23,Wales,Chelsea,Defender,2022
18752,Hélder Costa,Hélder Wander Sousa de Azevedo e Costa,29,Angola,Leeds,Attacker,2022
19043,T. Kongolo,Terence Kongolo,29,Netherlands,Fulham,Defender,2022
46792,Pablo Marí,Pablo Marí Villar,30,Spain,Arsenal,Defender,2022
47302,Diego Llorente,Diego Javier Llorente Ríos,30,Spain,Leeds,Defender,2022
138937,F. Marschall,Filip Marschall,20,England,Aston Villa,Goalkeeper,2022
152949,D. Simeu,Dynel Brown Kembo Simeu,21,England,Southampton,Defender,2022
156490,N. Nkounkou,Niels Patrick Nkounkou,23,France,Everton,Defender,2022
284323,C. Savage,Charlie William Henry Savage,20,Wales,Manchester United,Midfielder,2022
284457,L. Bogarde,Lamare Trenton Chansey Bogarde,19,Netherlands,Aston Villa,Defender,2022
382163,O. Bevan,Owen Lucas Bevan,20,Wales,Bournemouth,Defender,2022
16,M. Götze,Mario Götze,31,Germany,Eintracht Frankfurt,Midfielder,2022
326,Allan,Allan Marques Loureiro,32,Brazil,Everton,Midfielder,2022
925,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,27,Portugal,Wolves,Attacker,2022
946,K. Mbabu,Melingo Kevin Mbabu,28,Switzerland,Fulham,Defender,2022
1439,Héctor Bellerín,Héctor Bellerín Moruno,28,Spain,Arsenal,Defender,2022
1809,Tuta,Lucas Silva Melo,24,Brazil,Eintracht Frankfurt,Defender,2022
1853,Bruno Jordão,Bruno André Cavaco Jordão,25,Portugal,Wolves,Midfielder,2022
2298,C. Hudson-Odoi,Callum James Hudson-Odoi,23,England,Chelsea,Midfielder,2022
2461,S. Rondón,José Salomón Rondón Giménez,34,Venezuela,Everton,Attacker,2022
8451,Aurélio Buta,Aurélio Gabriel Ulineia Buta,26,Portugal,Eintracht Frankfurt,Defender,2022
15884,J. Lindstrøm,Jesper Grænge Lindstrøm,23,Denmark,Eintracht Frankfurt,Midfielder,2022
19352,Sergi Canós,Sergi Canós Tenes,26,Spain,Brentford,Midfielder,2022
24841,C. Lenz,Christopher Lenz,29,Germany,Eintracht Frankfurt,Defender,2022
24894,D. Ramaj,Diant Ramaj,22,Germany,Eintracht Frankfurt,Goalkeeper,2022
26291,J. Grahl,Jens Grahl,35,Germany,Eintracht Frankfurt,Goalkeeper,2022
138804,M. Kovář,Matěj Kovář,23,Czech Republic,Manchester United,Goalkeeper,2022
161922,A. Knauff,Ansgar Knauff,21,Germany,Eintracht Frankfurt,Attacker,2022
286369,J. Schröder,Jan Alex Wilson Schröder,20,Germany,Eintracht Frankfurt,Defender,2022
322505,M. Wenig,Marcel Wenig,19,Germany,Eintracht Frankfurt,Midfielder,2022
328214,M. Loune,Mehdi Loune,19,Germany,Eintracht Frankfurt,Midfielder,2022
2928,C. Benteke,Christian Benteke Liolo,33,Belgium,Crystal Palace,Attacker,2022
3008,M. Klich,Mateusz Andrzej Klich,33,Poland,Leeds,Midfielder,2022
18770,E. Jakupovic,Eldin Jakupovic,39,Switzerland,Everton,Goalkeeper,2022
18893,F. Fernández,Federico Fernández,34,Argentina,Newcastle,Defender,2022
19195,A. El Ghazi,Anwar El Ghazi,28,Netherlands,Aston Villa,Attacker,2022
19307,Léo Bonatini,Leonardo Bonatini Lohner Maia,29,Brazil,Wolves,Attacker,2022
19309,J. Lolley,Joseph Lolley,31,England,Nottingham Forest,Attacker,2022
19345,M. Sørensen,Mads Bech Sørensen,24,Denmark,Brentford,Defender,2022
20093,J. Hill,James Clayton Hill,21,England,Bournemouth,Defender,2022
20503,L. O&apos;Brien,Lewis John O'Brien,25,England,Nottingham Forest,Midfielder,2022
37276,K. Scherpen,Kjell Scherpen,23,Netherlands,Brighton,Goalkeeper,2022
40434,J. Valencia,César Joel Valencia Castillo,29,Ecuador,Brentford,Attacker,2022
41577,Nuno Tavares,Nuno Albertino Varela Tavares,23,Portugal,Arsenal,Defender,2022
50816,R. Laryea,Richmond Mamah Laryea,28,Canada,Nottingham Forest,Defender,2022
61178,C. Ronan,Connor Patrick Ronan,25,Republic of Ireland,Wolves,Midfielder,2022
64304,K. Kozłowski,Kacper Szymon Kozłowski,20,Poland,Brighton,Midfielder,2022
69257,J. Furlong,Walter James Byrne Furlong,21,Republic of Ireland,Brighton,Defender,2022
70767,B. Ojeda,Braian Óscar Ojeda Rodríguez,23,Paraguay,Nottingham Forest,Midfielder,2022
151754,L. Clarkson,Leighton Owen Clarkson,22,England,Liverpool,Midfielder,2022
195717,Y. Mosquera,Yerson Mosquera Valdelamar,22,Colombia,Wolves,Defender,2022
5,M. Akanji,Manuel Obafemi Akanji,28,Switzerland,Manchester City,Defender,2022
23,Sergio Gómez,Sergio Gómez Martín,23,Spain,Manchester City,Midfielder,2022
44,Rodri,Rodrigo Hernández Cascante,27,Spain,Manchester City,Midfielder,2022
622,Aymeric Laporte,Aymeric Jean Louis Gérard Alph Laporte,29,Spain,Manchester City,Defender,2022
626,J. Stones,John Stones,29,England,Manchester City,Defender,2022
629,K. De Bruyne,Kevin De Bruyne,32,Belgium,Manchester City,Midfielder,2022
631,P. Foden,Philip Walter Foden,23,England,Manchester City,Midfielder,2022
633,İ. Gündoğan,İlkay Gündoğan,33,Germany,Manchester City,Midfielder,2022
636,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,29,Portugal,Manchester City,Midfielder,2022
1100,E. Haaland,Erling Braut Haaland,23,Norway,Manchester City,Attacker,2022
6009,J. Álvarez,Julián Álvarez,23,Argentina,Manchester City,Attacker,2022
18861,N. Aké,Nathan Benjamin Aké,28,Netherlands,Manchester City,Defender,2022
19130,K. Phillips,Kalvin Mark Phillips,28,England,Manchester City,Midfielder,2022
19187,J. Grealish,Jack Peter Grealish,28,England,Manchester City,Midfielder,2022
144733,B. Knight,Benjamin Leo Knight,21,England,Manchester City,Midfielder,2022
152982,C. Palmer,Cole Jermaine Palmer,21,England,Manchester City,Midfielder,2022
284230,R. Lewis,Rico Henry Lewis,19,England,Manchester City,Defender,2022
284356,S. Charles,Shea Emmanuel Charles,20,Northern Ireland,Manchester City,Defender,2022
288109,A. Robertson,Alexander Sean Pablo Robertson,20,Australia,Manchester City,Midfielder,2022
288699,M. Perrone,Máximo Perrone,20,Argentina,Manchester City,Midfielder,2022
158,P. Gazzaniga,Paulo Dino Gazzaniga Farias,31,Argentina,Fulham,Goalkeeper,2022
378,Alex Telles,Alex Nicolao Telles,31,Brazil,Manchester United,Defender,2022
1117,K. Tierney,Kieran Tierney,26,Scotland,Arsenal,Defender,2022
1578,G. Lo Celso,Giovani Lo Celso,27,Argentina,Tottenham,Midfielder,2022
2061,Bryan Gil,Bryan Gil Salvatierra,22,Spain,Tottenham,Attacker,2022
2852,L. Augustinsson,Hans Carl Ludwig Augustinsson,29,Sweden,Aston Villa,Defender,2022
18742,M. Doherty,Matthew James Doherty,31,Republic of Ireland,Tottenham,Defender,2022
18902,Kenedy,Robert Kenedy Nunes do Nascimento,27,Brazil,Chelsea,Midfielder,2022
18906,Ayoze Pérez,Ayoze Pérez Gutiérrez,30,Spain,Leicester,Attacker,2022
18949,Oriol Romeu,Oriol Romeu Vidal,32,Spain,Southampton,Midfielder,2022
18978,F. Andone,Florin Andone,30,Romania,Brighton,Attacker,2022
19959,B. White,Benjamin William White,26,England,Arsenal,Defender,2022
20355,A. Ramsdale,Aaron Christopher Ramsdale,25,England,Arsenal,Goalkeeper,2022
22224,Gabriel Magalhães,Gabriel dos Santos Magalhães,26,Brazil,Arsenal,Defender,2022
50999,M. Turner,Matthew Charles Turner,29,USA,Arsenal,Goalkeeper,2022
56296,N. Frederiksen,Nikolai Baden Frederiksen,23,Denmark,Vitesse,Attacker,2022
138843,J. Hillson,James Andrew Hillson,22,England,Arsenal,Goalkeeper,2022
169295,K. Hein,Karl Jakob Hein,21,Estonia,Arsenal,Goalkeeper,2022
174918,L. Badé,Loïc Badé,23,France,Nottingham Forest,Defender,2022
231062,A. Okonkwo,Arthur Chukwuezugo Okonkwo,22,England,Arsenal,Goalkeeper,2022
723,Joelinton,Joelinton Cassio Apolinário de Lira,27,Brazil,Newcastle,Attacker,2022
742,R. Varane,Raphaël Xavier Varane,30,France,Manchester United,Defender,2022
882,David de Gea,David de Gea Quintana,33,Spain,Manchester United,Goalkeeper,2022
886,Diogo Dalot,José Diogo Dalot Teixeira,24,Portugal,Manchester United,Defender,2022
888,P. Jones,Phil Anthony Jones,31,England,Manchester United,Defender,2022
889,V. Lindelöf,Victor Jörgen Nilsson Lindelöf,29,Sweden,Manchester United,Defender,2022
2467,Lisandro Martínez,Lisandro Martínez,25,Argentina,Manchester United,Defender,2022
2864,A. Isak,Alexander Isak,24,Sweden,Newcastle,Attacker,2022
2930,J. Butland,Jack Butland,30,England,Manchester United,Goalkeeper,2022
2931,T. Heaton,Thomas David Heaton,37,England,Manchester United,Goalkeeper,2022
2935,H. Maguire,Jacob Harry Maguire,30,England,Manchester United,Defender,2022
2939,C. Wilson,Callum Eddie Graham Wilson,31,England,Newcastle,Attacker,2022
10135,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,26,Brazil,Newcastle,Midfielder,2022
20319,N. Bishop,Nathan James Bishop,24,England,Manchester United,Goalkeeper,2022
22173,A. Saint-Maximin,Allan Irénée Saint-Maximin,26,France,Newcastle,Attacker,2022
37145,T. Malacia,Tyrell Johannes Chicco Malacia,24,Netherlands,Manchester United,Defender,2022
130419,M. Longstaff,Matthew Ben Longstaff,23,England,Newcastle,Midfielder,2022
138787,A. Gordon,Anthony Michael Gordon,22,England,Newcastle,Attacker,2022
284291,J. Turner-Cooke,Jay Turner-Cooke,20,England,Newcastle,Midfielder,2022
328105,L. Miley,Lewis Miley,17,England,Newcastle,Midfielder,2022
567,Rúben Dias,Rúben dos Santos Gato Alves Dias,26,Portugal,Manchester City,Defender,2022
617,Ederson,Ederson Santana de Moraes,30,Brazil,Manchester City,Goalkeeper,2022
627,K. Walker,Kyle Andrew Walker,33,England,Manchester City,Defender,2022
643,Gabriel Jesus,Gabriel Fernando de Jesus,26,Brazil,Arsenal,Attacker,2022
727,R. Nelson,Reiss Luke Nelson,24,England,Arsenal,Attacker,2022
1468,E. Nketiah,Edward Keddar Nketiah,24,England,Arsenal,Attacker,2022
1946,L. Trossard,Leandro Trossard,29,Belgium,Arsenal,Attacker,2022
19197,S. Carson,Scott Paul Carson,38,England,Manchester City,Goalkeeper,2022
25004,S. Ortega,Stefan Ortega Moreno,31,Germany,Manchester City,Goalkeeper,2022
127769,Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,22,Brazil,Arsenal,Attacker,2022
284062,K. Edwards,Khayon Edwards,20,England,Arsenal,Attacker,2022
284571,C. Sagoe,Charles Kwame Sagoe Junior,19,England,Arsenal,Attacker,2022
309507,B. Ibrahim,Bradley Ibrahim,19,England,Arsenal,Midfielder,2022
169,K. Trippier,Kieran John Trippier,33,England,Newcastle,Defender,2022
635,R. Mahrez,Riyad Karim Mahrez,32,Algeria,Manchester City,Attacker,2022
1972,L. Karius,Loris Karius,30,Germany,Newcastle,Goalkeeper,2022
18886,M. Dúbravka,Martin Dúbravka,34,Slovakia,Newcastle,Goalkeeper,2022
18892,P. Dummett,Paul Dummett,32,Wales,Newcastle,Defender,2022
18911,N. Pope,Nicholas David Pope,31,England,Newcastle,Goalkeeper,2022
44912,M. Gillespie,Mark Joseph Gillespie,31,England,Newcastle,Goalkeeper,2022
1463,J. Willock,Joseph George Willock,24,England,Newcastle,Midfielder,2022
2507,M. Almirón,Miguel Ángel Almirón Rejala,29,Paraguay,Newcastle,Midfielder,2022
2806,F. Schär,Fabian Lukas Schär,32,Switzerland,Newcastle,Defender,2022
2855,E. Krafth,Emil Henry Kristoffer Krafth,29,Sweden,Newcastle,Defender,2022
18873,R. Fraser,Ryan Fraser,29,Scotland,Newcastle,Midfielder,2022
18894,J. Lascelles,Jamaal Lascelles,30,England,Newcastle,Defender,2022
18896,Javi Manquillo,Javier Manquillo Gaitán,29,Spain,Newcastle,Defender,2022
18901,S. Longstaff,Sean David Longstaff,26,England,Newcastle,Midfielder,2022
18903,M. Ritchie,Matthew Thomas Ritchie,34,Scotland,Newcastle,Midfielder,2022
18941,M. Targett,Matthew Robert Targett,28,England,Newcastle,Defender,2022
18961,D. Burn,Daniel Johnson Burn,31,England,Newcastle,Defender,2022
19076,J. Lewis,Jamal Piaras Lewis,25,Northern Ireland,Newcastle,Defender,2022
19163,J. Murphy,Jacob Kai Murphy,28,England,Newcastle,Midfielder,2022
38734,S. Botman,Sven Botman,23,Netherlands,Newcastle,Defender,2022
138908,E. Anderson,Elliot Anderson,21,Scotland,Newcastle,Midfielder,2022
171058,H. Ashby,Harrison Charles Ashby,22,Scotland,Newcastle,Defender,2022
147,Philippe Coutinho,Philippe Coutinho Correia,31,Brazil,Aston Villa,Midfielder,2022
766,R. Olsen,Robin Patrick Olsen,33,Sweden,Aston Villa,Goalkeeper,2022
894,A. Young,Ashley Simon Young,38,England,Aston Villa,Defender,2022
2724,L. Digne,Lucas Digne,30,France,Aston Villa,Defender,2022
2922,L. Dendoncker,Leander Dendoncker,28,Belgium,Aston Villa,Defender,2022
19016,C. Chambers,Calum Chambers,28,England,Aston Villa,Defender,2022
19071,E. Buendía,Emiliano Buendía Stati,27,Argentina,Aston Villa,Midfielder,2022
19174,J. Steer,Jed John Steer,31,England,Aston Villa,Goalkeeper,2022
19179,T. Mings,Tyrone Deon Mings,30,England,Aston Villa,Defender,2022
19191,J.  McGinn,John McGinn,29,Scotland,Aston Villa,Midfielder,2022
19298,M. Cash,Matthew Stuart Cash,26,Poland,Aston Villa,Defender,2022
19354,E. Konsa,Ezri Konsa Ngoyo,26,England,Aston Villa,Defender,2022
21090,Diego Carlos,Diego Carlos Santos Silva,30,Brazil,Aston Villa,Defender,2022
47522,Douglas Luiz,Douglas Luiz Soares de Paulo,25,Brazil,Aston Villa,Midfielder,2022
47547,Álex Moreno,Alexandre Moreno Lopera,30,Spain,Aston Villa,Defender,2022
148270,O. Zych,Oliwier Zych,19,Poland,Aston Villa,Goalkeeper,2022
169291,V. Sinisalo,Viljami Kari Veikko Sinisalo,22,Finland,Aston Villa,Goalkeeper,2022
278123,S. Revan,Sebastian Revan,20,England,Aston Villa,Defender,2022
284390,J. Wright,James Wright,19,England,Aston Villa,Goalkeeper,2022
284523,S. Swinkels,Sil Laurentius Swinkels,19,Netherlands,Aston Villa,Defender,2022
18,J. Sancho,Jadon Malik Sancho,23,England,Manchester United,Attacker,2022
159,H. Lloris,Hugo Hadrien Dominique Lloris,37,France,Tottenham,Goalkeeper,2022
174,C. Eriksen,Christian Dannemann Eriksen,31,Denmark,Manchester United,Midfielder,2022
547,D. van de Beek,Donny van de Beek,26,Netherlands,Manchester United,Midfielder,2022
747,Casemiro,Carlos Henrique Casimiro,31,Brazil,Manchester United,Midfielder,2022
903,S. McTominay,Scott Francis McTominay,27,Scotland,Manchester United,Midfielder,2022
905,Fred,Frederico Rodrigues de Paula Santos,30,Brazil,Manchester United,Midfielder,2022
908,A. Martial,Anthony Jordan Martial,28,France,Manchester United,Attacker,2022
909,M. Rashford,Marcus Rashford,26,England,Manchester United,Attacker,2022
1159,M. Sabitzer,Marcel Sabitzer,29,Austria,Manchester United,Midfielder,2022
1485,Bruno Fernandes,Bruno Miguel Borges Fernandes,29,Portugal,Manchester United,Midfielder,2022
9971,Antony,Antony Matheus dos Santos,23,Brazil,Manchester United,Attacker,2022
18932,F. Forster,Fraser Gerard Forster,35,England,Tottenham,Goalkeeper,2022
25416,W. Weghorst,Wout Weghorst,31,Netherlands,Manchester United,Attacker,2022
70078,F. Pellistri,Facundo Pellistri Rebollo,22,Uruguay,Manchester United,Midfielder,2022
153430,A. Elanga,Anthony David Junior Elanga,21,Sweden,Manchester United,Attacker,2022
156428,B. Austin,Brandon Anthony Austin,24,England,Tottenham,Goalkeeper,2022
284295,Zidane Iqbal,Zidane Aamar Iqbal,20,Iraq,Manchester United,Midfielder,2022
284322,K. Mainoo,Kobbie Mainoo,18,England,Manchester United,Midfielder,2022
284324,A. Garnacho,Alejandro Garnacho Ferreyra,19,Argentina,Manchester United,Attacker,2022
133,C. Lenglet,Clément Nicolas Laurent Lenglet,28,France,Tottenham,Defender,2022
161,A. Whiteman,Alfie Malik Whiteman,25,England,Tottenham,Goalkeeper,2022
164,B. Davies,Benjamin Thomas Davies,30,Wales,Tottenham,Defender,2022
168,D. Sánchez,Davinson Sánchez Mina,27,Colombia,Tottenham,Defender,2022
175,E. Dier,Eric Jeremy Edgar Dier,29,England,Tottenham,Defender,2022
180,O. Skipp,Oliver William Skipp,23,England,Tottenham,Midfielder,2022
207,I. Perišić,Ivan Perišić,34,Croatia,Tottenham,Midfielder,2022
1566,Emerson,Emerson Aparecido Leite de Souza Junior,24,Brazil,Tottenham,Defender,2022
2735,P. Højbjerg,Pierre-Emile Kordt Højbjerg,28,Denmark,Tottenham,Midfielder,2022
