id,name,full_name,age,nationality,team_name,position,season
623,B. Mendy,Benjamin Mendy,28,France,Manchester City,Defender,2022
630,F. Delph,Fabian Delph,33,England,Everton,Midfielder,2022
883,Lee Grant,Lee Grant,39,England,Manchester United,Goalkeeper,2022
897,M. Greenwood,Mason Will John Greenwood,21,England,Manchester United,Attacker,2022
2281,Gary Cahill,Gary Cahill,37,England,Bournemouth,Defender,2022
2288,Daniel Noel Drinkwater,Daniel Noel Drinkwater,32,England,Chelsea,Midfielder,2022
3398,Gaëtan Bong Songo,Gaëtan Bong Songo,34,Cameroon,Nottingham Forest,Defender,2022
18826,Mark Noble,Mark Noble,35,England,West Ham,Midfielder,2022
138411,L. Hughes,Liam John Hughes,21,Northern Ireland,Liverpool,Goalkeeper,2022
158696,F. Burns,Finley Jack Burns,19,England,Manchester City,Defender,2022
162517,L. Dendoncker,Lars Dendoncker,21,Belgium,Brighton,Defender,2022
284247,H. Blair,Harvey Blair,19,England,Liverpool,Attacker,2022
284464,M. Cadogan,Maliq Anthony Cadogan,18,England,Crystal Palace,Midfielder,2022
284530,B. Cover,Brandon Ashley Cover,19,England,Leicester,Midfielder,2022
293162,J. Raymond,Jadan Raymond,19,England,Crystal Palace,Midfielder,2022
293167,J. Sheridan,Joe Sheridan,19,England,Crystal Palace,Defender,2022
305732,T. Wilson-Brown,Thomas Wilson-Brown,18,England,Leicester,Defender,2022
344908,M. Vigor,Matthew Vigor,18,England,Crystal Palace,Midfielder,2022
350590,T. Gidaree,Tarik Gidaree,19,England,Bournemouth,Defender,2022
350627,J. Addae,Joshua Addae,,England,Crystal Palace,Defender,2022
1093,E. Mwepu,Enock Mwepu,24,Zambia,Brighton,Midfielder,2022
19308,L. Grabban,Lewis Grabban,34,England,Nottingham Forest,Attacker,2022
152976,Thomas Daniel Hill,Thomas Daniel Hill,20,England,Liverpool,Midfielder,2022
152979,James Barry Norris,James Barry Norris,19,England,Liverpool,Defender,2022
153429,T. Mengi,Teden Mambuene Mengi,20,England,Manchester United,Defender,2022
216770,I. Hansen-Aarøen,Isak Hansen-Aarøen,18,Norway,Manchester United,Midfielder,2022
278133,Oscar Bobb,Oscar Bobb,19,Norway,Manchester City,Midfielder,2022
282136,N. Emeran,Noam Fritz Emeran,20,France,Manchester United,Attacker,2022
