id,player_name,player_age,player_position,club_left,club_joined,market_value,season
80,XlVLW,45,Centre-Back,Kasimpasa,Brentford FC,€800k,2021
81,YieGj,41,Goalkeeper,Bromley,Brentford FC,€300k,2021
82,GifCY,49,Left-Back,Ipswich,Brentford FC,€1.80m,2021
83,XoXaD,27,Goalkeeper,Viking FK,Brentford FC,€700k,2021
84,LALJq,90,Goalkeeper,Burton Albion,Brentford FC,€300k,2021
85,lAptI,98,Centre-Forward,Galatasaray,Brentford FC,€2.50m,2021
86,zkGwX,00,Goalkeeper,Silkeborg IF,Brentford FC,€700k,2021
87,YJtPY,77,Right Winger,Legia Warszawa,Brentford FC,€400k,2021
88,qwGvM,72,Centre-Forward,Brentford FC,Galatasaray,€2.50m,2021
89,JqZgK,64,Attacking Midfield,Brentford FC,Bournemouth,€1.80m,2021
90,JkeoP,13,Goalkeeper,Brentford FC,Middlesbrough,€250k,2021
91,akCQq,15,Centre-Back,Brentford FC,FC Midtjylland,€800k,2021
92,dpNyJ,64,Goalkeeper,Brentford FC,Burton Albion,€300k,2021
93,FJZmK,91,Left-Back,Brentford FC,Ipswich,€1.80m,2021
94,FUVjL,92,Centre-Back,Brentford FC,HB Köge,€250k,2021
95,TIqLB,83,Goalkeeper,Brentford FC,Bromley,€300k,2021
96,VDqCx,08,Goalkeeper,Brentford FC,Viking FK,€700k,2021
97,QKzpN,71,Central Midfield,Brentford FC,Viborg FF,€500k,2021
98,qQRxu,04,Centre-Back,Brentford FC,Sheffield United,€800k,2021
99,kCxpk,30,Right Winger,Brentford FC,Alcorcón,€400k,2021
100,djYQC,36,Central Midfield,Brentford FC,Nordsjaelland,€1.50m,2021
101,ewOHT,17,Goalkeeper,Brentford FC,Viking FK,€700k,2021
102,QfpiW,24,Centre-Forward,Brentford FC,Hull City,€3.50m,2021
103,zdZwT,31,Central Midfield,RB Salzburg,Brighton & Hove Albion,-,2021
104,fmYzH,96,Left-Back,Getafe,Brighton & Hove Albion,€40.00m,2021
105,kbtfh,63,Central Midfield,Pogon Szczecin,Brighton & Hove Albion,€8.00m,2021
106,oTaUM,93,Right Winger,Slavia Prague,Brighton & Hove Albion,€7.00m,2021
107,xtifV,87,Centre-Forward,Union SG,Brighton & Hove Albion,€6.00m,2021
108,xOfGD,59,Goalkeeper,Ajax,Brighton & Hove Albion,€2.00m,2021
109,uVWCT,65,Left Winger,Kawasaki Front.,Brighton & Hove Albion,€22.00m,2021
110,NfQNa,58,Attacking Midfield,Benfica U19,Brighton & Hove Albion,€5.00m,2021
111,Yrpms,29,Centre-Back,Brighton U23,Brighton & Hove Albion,€500k,2021
112,ZwMQZ,32,Central Midfield,Brighton U23,Brighton & Hove Albion,€400k,2021
113,wUqVZ,20,Central Midfield,Birmingham,Brighton & Hove Albion,€400k,2021
114,FIFfy,20,Centre-Forward,Middlesbrough,Brighton & Hove Albion,€5.00m,2021
115,RfmCe,62,Centre-Back,Blackburn Rovers,Brighton & Hove Albion,€4.00m,2021
116,LuXkf,61,Defensive Midfield,Beerschot V.A.,Brighton & Hove Albion,€55.00m,2021
117,UGTRc,28,Right Winger,Stoke City,Brighton & Hove Albion,€7.00m,2021
118,kzdhc,70,Goalkeeper,Ipswich,Brighton & Hove Albion,€1.00m,2021
119,HeoeY,07,Left Winger,LDU Quito,Brighton & Hove Albion,€300k,2021
120,DVHcB,06,Centre-Back,Stoke City,Brighton & Hove Albion,€7.00m,2021
121,XnuNC,43,Left Winger,Union SG,Brighton & Hove Albion,€22.00m,2021
122,xEvXm,19,Centre-Back,West Brom,Brighton & Hove Albion,€4.00m,2021
123,BQooy,71,Goalkeeper,Arsenal,Brighton & Hove Albion,€4.00m,2021
124,mmWYw,25,Centre-Back,RB Salzburg,Brighton & Hove Albion,€2.50m,2021
125,LuBdY,51,Defensive Midfield,Dynamo Kyiv,Brighton & Hove Albion,€2.00m,2021
126,TJGEK,00,Centre-Back,Heerenveen,Brighton & Hove Albion,€4.00m,2021
127,NPFMb,34,Centre-Forward,NK Maribor,Brighton & Hove Albion,€2.30m,2021
128,zCxmU,46,Centre-Forward,Cincinnati,Brighton & Hove Albion,€1.80m,2021
129,qpAye,22,Right-Back,Brighton & Hove Albion,Arsenal,€50.00m,2021
130,JUXbW,27,Centre-Back,Brighton & Hove Albion,Newcastle United,€12.00m,2021
131,szcAZ,15,Right Winger,Brighton & Hove Albion,El Ahly,€1.50m,2021
132,vriKm,10,Centre-Forward,Brighton & Hove Albion,Coventry,€8.00m,2021
133,uvNDR,01,Right Winger,Brighton & Hove Albion,Feyenoord,€3.00m,2021
134,XWNud,99,Left-Back,Brighton & Hove Albion,Olympiacos,€3.00m,2021
135,ayYQi,50,Left Winger,Brighton & Hove Albion,Independiente,€300k,2021
136,dkIea,43,Centre-Forward,Brighton & Hove Albion,VfL Bochum,€1.80m,2021
137,sXnQn,39,Left Winger,Brighton & Hove Albion,Club Brugge,€800k,2021
138,KHuBX,69,Central Midfield,Brighton & Hove Albion,PSV Eindhoven,€700k,2021
139,UZoHq,85,Goalkeeper,Brighton & Hove Albion,Real Sociedad,€4.00m,2021
140,pUXhZ,33,Left Winger,Brighton & Hove Albion,Union SG,€22.00m,2021
141,dbBgK,09,Centre-Forward,Brighton & Hove Albion,Union SG,€6.00m,2021
142,ZGLPh,16,Central Midfield,Brighton & Hove Albion,Union SG,€8.00m,2021
143,ycRiS,99,Centre-Back,Brighton & Hove Albion,RB Salzburg,€2.50m,2021
144,oOhUI,20,Centre-Forward,Brighton & Hove Albion,Hajduk Split,€2.30m,2021
145,iBMfH,61,Goalkeeper,Brighton & Hove Albion,Ipswich,€1.00m,2021
146,Duxpq,95,Defensive Midfield,Brighton & Hove Albion,Beerschot V.A.,€55.00m,2021
147,VjFSI,84,Right Winger,Brighton & Hove Albion,Stoke City,€7.00m,2021
148,RKHBb,93,Centre-Forward,Brighton & Hove Albion,Middlesbrough,€5.00m,2021
149,cDrew,69,Goalkeeper,Brighton & Hove Albion,Ipswich,€1.00m,2021
150,RFeyQ,73,Centre-Forward,Brighton & Hove Albion,FC Augsburg,€2.70m,2021
151,ngWrs,33,Centre-Back,Brighton & Hove Albion,Genoa,€7.00m,2021
152,Fezvv,94,Centre-Back,Brighton & Hove Albion,Blackburn Rovers,€4.00m,2021
153,DEmXE,02,Centre-Forward,Brighton & Hove Albion,Cádiz CF,€1.00m,2021
154,VVbcf,79,Centre-Back,Brighton & Hove Albion,Stoke City,€7.00m,2021
155,AXGQs,23,Central Midfield,Brighton & Hove Albion,Birmingham,€400k,2021
156,viufK,57,Centre-Back,Brighton & Hove Albion,West Brom,€4.00m,2021
157,YlEPr,55,Goalkeeper,Brighton & Hove Albion,KV Oostende,€2.00m,2021
158,nqMUJ,01,Centre-Forward,VfL Wolfsburg,Burnley FC,€14.00m,2021
159,ywDdm,38,Left Winger,Olympique Lyon,Burnley FC,€15.00m,2021
160,fHRyq,95,Centre-Back,Stoke City,Burnley FC,€22.00m,2021
161,RpwAB,13,Right-Back,Swansea,Burnley FC,€6.00m,2021
162,DUbIt,20,Right Winger,Kayserispor,Burnley FC,-,2021
163,qlikT,22,Goalkeeper,Crystal Palace,Burnley FC,€500k,2021
164,jIGqr,34,Centre-Back,Burnley U21,Burnley FC,€450k,2021
165,OgUSO,96,Goalkeeper,Sheff Wed,Burnley FC,€900k,2021
166,iDHdY,23,Centre-Forward,Burnley FC,Newcastle United,€10.00m,2021
167,IImwe,63,Centre-Back,Burnley FC,Norwich City,€2.50m,2021
168,MMKwc,45,Central Midfield,Burnley FC,Barnsley FC,€300k,2021
169,knYXI,42,Centre-Back,Burnley FC,QPR,€3.50m,2021
170,QekRP,50,Goalkeeper,Burnley FC,Sheff Wed,€900k,2021
171,Grepx,17,Centre-Forward,Inter Milan,Chelsea FC,€40.00m,2021
172,aEJTA,91,Central Midfield,Atlético Madrid,Chelsea FC,€10.00m,2021
173,KUuBh,51,Goalkeeper,Fulham,Chelsea FC,€2.00m,2021
174,fQmLI,42,Centre-Back,Chelsea U23,Chelsea FC,€22.00m,2021
175,FOdPJ,20,Left-Back,Reading,Chelsea FC,€1.80m,2021
176,biBJm,95,Attacking Midfield,Čukarički,Chelsea FC,€800k,2021
177,gRwAw,27,Left Winger,Flamengo,Chelsea FC,€3.00m,2021
178,yNZfk,11,Left Winger,Granada CF,Chelsea FC,€3.00m,2021
179,aCyiX,65,Central Midfield,Reading,Chelsea FC,€400k,2021
180,ymqWl,27,Central Midfield,Norwich City,Chelsea FC,€9.00m,2021
181,mBJgK,58,Central Midfield,Trabzonspor,Chelsea FC,€3.00m,2021
182,UwRxP,55,Right-Back,Genoa,Chelsea FC,€7.00m,2021
183,XayTP,54,Central Midfield,Kasimpasa,Chelsea FC,€400k,2021
184,SiFZy,81,Left-Back,PAOK Salonika,Chelsea FC,€1.80m,2021
185,DbShk,53,Centre-Back,RSC Anderlecht,Chelsea FC,€2.00m,2021
186,HduQq,66,Centre-Back,AC Milan,Chelsea FC,€45.00m,2021
187,gwLpU,52,Defensive Midfield,SSC Napoli,Chelsea FC,€2.50m,2021
188,nrBrz,63,Centre-Back,FC Porto,Chelsea FC,€8.00m,2021
189,IvbjY,48,Central Midfield,PSV Eindhoven,Chelsea FC,€1.40m,2021
190,Owdvi,98,Right Midfield,Spartak Moscow,Chelsea FC,€3.00m,2021
191,OnHBF,62,Centre-Back,Coventry,Chelsea FC,€2.50m,2021
192,UNeEo,53,Centre-Forward,Chelsea FC,AS Roma,€45.00m,2021
193,BBioO,59,Centre-Back,Chelsea FC,West Ham,€28.00m,2021
194,eFWDA,11,Centre-Back,Chelsea FC,AC Milan,€45.00m,2021
195,GfeXL,21,Right-Back,Chelsea FC,Atalanta BC,€7.00m,2021
196,omrgH,26,Right Midfield,Chelsea FC,Spartak Moscow,€3.00m,2021
197,pdUsN,09,Defensive Midfield,Chelsea FC,AC Milan,€2.50m,2021
198,MkFkE,60,Centre-Forward,Chelsea FC,AC Milan,€4.00m,2021
199,CBcEy,02,Left Winger,Chelsea FC,Flamengo,€3.00m,2021
200,PGfIV,34,Left-Back,Chelsea FC,Olympique Lyon,€12.00m,2021
201,VfpaD,48,Centre-Forward,Chelsea FC,Besiktas,€10.00m,2021
202,uPbBN,66,Central Midfield,Chelsea FC,PSV Eindhoven,€1.40m,2021
203,AWwum,48,Attacking Midfield,Chelsea FC,Partizan,€800k,2021
204,HJdSF,97,Second Striker,Chelsea FC,Preston,-,2021
205,qqYIj,15,Central Midfield,Chelsea FC,Stoke City,€3.00m,2021
206,aSNRJ,51,Central Midfield,Chelsea FC,Norwich City,€9.00m,2021
207,lfgDS,92,Centre-Back,Chelsea FC,Venezia,€9.00m,2021
208,XxIlS,14,Central Midfield,Chelsea FC,Reading,€400k,2021
209,xNHAs,15,Left-Back,Chelsea FC,Reading,€1.80m,2021
210,EiWbY,38,Centre-Back,Chelsea FC,Alavés,€2.00m,2021
211,YvuPG,27,Centre-Back,Chelsea FC,Coventry,€2.50m,2021
212,LEZuf,90,Centre-Back,Chelsea U23,Crystal Palace,€35.00m,2021
213,AETEk,40,Centre-Back,Olympique Lyon,Crystal Palace,€32.00m,2021
214,FkzRz,84,Centre-Forward,Celtic,Crystal Palace,€17.00m,2021
215,tulUa,00,Centre-Forward,1.FSV Mainz 05,Crystal Palace,€9.00m,2021
216,NgCtG,34,Right Winger,Reading,Crystal Palace,€27.00m,2021
217,bEUlu,41,Central Midfield,Watford,Crystal Palace,€5.00m,2021
218,LWwos,66,Centre-Forward,Derby,Crystal Palace,€1.20m,2021
219,aoamA,69,Goalkeeper,Sunderland,Crystal Palace,€350k,2021
220,RLcZS,97,Attacking Midfield,Georgetown,Crystal Palace,€150k,2021
221,PQykK,39,Central Midfield,Chelsea U23,Crystal Palace,€32.00m,2021
222,oJthV,58,Centre-Forward,Derby,Crystal Palace,€1.20m,2021
223,WElEU,40,Centre-Back,Rakow,Crystal Palace,€400k,2021
224,vPGUX,21,Attacking Midfield,Waasl.-Beveren,Crystal Palace,€150k,2021
225,LUCqh,27,Goalkeeper,Crystal Palace,Burnley,€500k,2021
226,gGsMz,82,Centre-Forward,Crystal Palace,Macclesfield,-,2021
