id,player_name,player_age,player_position,club_left,club_joined,market_value,season
344,ssBPr,12,Centre-Forward,RSC Anderlecht,Manchester City,€14.00m,2021
345,fbLel,54,Central Midfield,Granada CF,Manchester City,€9.00m,2021
346,qQSiH,84,Left Winger,Rio Ave FC,Manchester City,€350k,2021
347,WZRtB,28,Left-Back,RB Leipzig,Manchester City,€14.00m,2021
348,kTzep,31,Right-Back,Girona,Manchester City,€4.00m,2021
349,ThlRr,03,Centre-Back,Troyes,Manchester City,€2.00m,2021
350,Bziwi,83,Right Winger,Lommel SK,Manchester City,€800k,2021
351,WKOPb,18,Right Winger,Troyes,Manchester City,€2.50m,2021
352,mkXOy,86,Attacking Midfield,Twente FC,Manchester City,€1.50m,2021
353,JCNiY,88,Left Winger,Aarhus GF,Manchester City,€450k,2021
354,lWgda,18,Centre-Back,Troyes,Manchester City,€3.00m,2021
355,DPKjh,26,Goalkeeper,Willem II,Manchester City,€6.00m,2021
356,oIqDQ,58,Left Winger,Manchester City,Barcelona,€30.00m,2021
357,otVXl,03,Left-Back,Manchester City,RB Leipzig,€14.00m,2021
358,TEeKx,31,Left Winger,Manchester City,Leeds United,€22.00m,2021
359,nOpHs,04,Centre-Forward,Manchester City,VfL Wolfsburg,€14.00m,2021
360,tZmTw,18,Centre-Back,Manchester City,Troyes,€3.00m,2021
361,OAyGm,16,Centre-Back,Manchester City,Barcelona,€12.00m,2021
362,VlSrA,10,Centre-Forward,Manchester City,Barcelona,-,2021
363,hpEkK,78,Right Winger,Manchester City,Sunderland,€2.50m,2021
364,oWwky,28,Centre-Back,Manchester City,Feyenoord,€2.00m,2021
365,HxCYc,56,Right Winger,Manchester City,Troyes,€2.50m,2021
366,hEjwG,85,Centre-Back,Manchester City,Troyes,€2.00m,2021
367,hDVXG,95,Centre-Forward,Manchester City,River Plate,€50.00m,2021
368,TzFNp,21,Goalkeeper,Manchester City,Adana Demirspor,€6.00m,2021
369,QnPHh,33,Attacking Midfield,Manchester City,Troyes,€1.50m,2021
370,fAsHf,80,Central Midfield,Manchester City,Espanyol,€9.00m,2021
371,QpwJJ,23,Centre-Back,Manchester City,Troyes,€3.00m,2021
372,WEEhH,57,Right-Back,Manchester City,SC Braga,€4.00m,2021
373,AaVTl,60,Centre-Back,Manchester City,FC Schalke 04,€12.00m,2021
374,HmkKr,56,Left Winger,Manchester City,Lommel SK,€450k,2021
375,XvBIz,34,Left Winger,Manchester City,Estoril Praia,€350k,2021
376,wEIes,07,Right Winger,Manchester City,KV Kortrijk,€800k,2021
377,nWkMS,25,Right-Back,Manchester City,Troyes,€5.00m,2021
378,qCJFQ,84,Left Winger,Bor. Dortmund,Manchester United,€55.00m,2021
379,fdtiv,87,Centre-Back,Real Madrid,Manchester United,€40.00m,2021
380,cVuth,57,Centre-Forward,Juventus,Manchester United,€20.00m,2021
381,hVvpM,22,Goalkeeper,Aston Villa,Manchester United,€600k,2021
382,IrJji,99,Left Winger,Man Utd U23,Manchester United,€25.00m,2021
383,RngSv,64,Right Winger,Man Utd U23,Manchester United,€4.00m,2021
384,jYHjf,61,Left-Back,Norwich City,Manchester United,€10.00m,2021
385,iAuPq,11,Centre-Back,Aston Villa,Manchester United,€6.00m,2021
386,vkjZL,25,Centre-Back,Birmingham,Manchester United,€2.00m,2021
387,JToQJ,25,Right Winger,Birmingham,Manchester United,€3.00m,2021
388,Titoe,74,Right Winger,Alavés,Manchester United,€3.00m,2021
389,WGIfL,11,Right Winger,Club Brugge,Manchester United,€3.00m,2021
390,EvBXN,90,Right Winger,Rangers,Manchester United,€13.00m,2021
391,iaEQY,93,Right-Back,AC Milan,Manchester United,€35.00m,2021
392,RzvPJ,77,Central Midfield,Everton,Manchester United,€17.00m,2021
393,aLoRb,41,Attacking Midfield,Lazio,Manchester United,€16.00m,2021
394,kqIJH,83,Right Winger,Manchester United,Leeds United,€13.00m,2021
395,isjRz,14,Attacking Midfield,Manchester United,Flamengo,€16.00m,2021
396,kjpTG,63,Centre-Back,Manchester United,SSC Napoli,€6.00m,2021
397,pjtlD,57,Goalkeeper,Manchester United,RKC Waalwijk,€300k,2021
398,MObqI,21,Centre-Forward,Manchester United,Sevilla FC,€15.00m,2021
399,oAFYw,07,Right Winger,Manchester United,Birmingham,€3.00m,2021
400,hvDQP,01,Right Winger,Manchester United,Alavés,€3.00m,2021
401,XLCuk,25,Centre-Back,Manchester United,Aston Villa,€6.00m,2021
402,IfwQk,52,Centre-Back,Manchester United,Birmingham,€2.00m,2021
403,pGULw,39,Right Winger,Manchester United,Rangers,€13.00m,2021
404,lIZwY,43,Left-Back,Manchester United,Norwich City,€10.00m,2021
405,UmARA,43,Central Midfield,Manchester United,Everton,€17.00m,2021
406,OPITh,76,Defensive Midfield,Olympique Lyon,Newcastle United,€60.00m,2021
407,MKSlE,70,Centre-Forward,Burnley,Newcastle United,€10.00m,2021
408,qDWfU,93,Central Midfield,Arsenal,Newcastle United,€30.00m,2021
409,WqpLv,47,Centre-Back,Brighton & Hove Albion,Newcastle United,€12.00m,2021
410,crAPe,91,Right-Back,Atlético Madrid,Newcastle United,€13.00m,2021
411,MsHCe,73,Left-Back,Aston Villa,Newcastle United,€15.00m,2021
412,cxWKJ,26,Central Midfield,Mansfield Town,Newcastle United,€1.50m,2021
413,BLvYs,62,Central Midfield,QPR,Newcastle United,€2.50m,2021
414,frihZ,36,Centre-Back,Alavés,Newcastle United,€4.00m,2021
415,DyMgi,94,Goalkeeper,Bournemouth,Newcastle United,€6.00m,2021
416,oEBsZ,10,Attacking Midfield,Doncaster,Newcastle United,€350k,2021
417,ePwZc,01,Central Midfield,Aberdeen FC,Newcastle United,€1.50m,2021
418,gYWAr,40,Centre-Forward,SD Eibar,Newcastle United,€1.80m,2021
419,Hquec,56,Left Winger,Newcastle United,Al-Raed,-,2021
420,lfdpR,45,Centre-Forward,Newcastle United,Vissel Kobe,€1.80m,2021
421,vvVXE,64,Attacking Midfield,Newcastle United,Doncaster,€350k,2021
422,miYVK,20,Centre-Back,Newcastle United,Alavés,€4.00m,2021
423,dLfoD,89,Central Midfield,Newcastle United,QPR,€2.50m,2021
424,nLcXI,31,Goalkeeper,Newcastle United,Bournemouth,€6.00m,2021
425,pmUte,67,Central Midfield,Newcastle United,Aberdeen FC,€1.50m,2021
426,aHrEP,13,Central Midfield,Newcastle United,Mansfield Town,€1.50m,2021
427,RNtsy,12,Left-Back,Newcastle United,Aston Villa,€15.00m,2021
428,YbOnX,97,Left Winger,PAOK Salonika,Norwich City,€7.00m,2021
429,KSZKJ,00,Right Winger,Werder Bremen,Norwich City,€7.50m,2021
430,EzTvI,87,Centre-Forward,Werder Bremen,Norwich City,€12.00m,2021
431,QnagB,25,Centre-Back,Burnley,Norwich City,€2.50m,2021
432,sWCtw,07,Left-Back,PAOK Salonika,Norwich City,€4.00m,2021
433,lNIzY,45,Goalkeeper,Southampton,Norwich City,€3.00m,2021
434,CEutk,60,Defensive Midfield,OGC Nice,Norwich City,€4.00m,2021
435,dtkJF,94,Centre-Back,FC Schalke 04,Norwich City,€10.00m,2021
436,CITlG,73,Defensive Midfield,Rostov,Norwich City,€7.50m,2021
437,fLxQa,32,Left-Back,Manchester United,Norwich City,€10.00m,2021
438,myZBF,62,Central Midfield,Chelsea,Norwich City,€9.00m,2021
439,OYEOS,49,Attacking Midfield,Norwich U21,Norwich City,€500k,2021
440,bdVGw,30,Centre-Back,KAS Eupen,Norwich City,€400k,2021
441,MrQFz,17,Left-Back,Karlsruher SC,Norwich City,€700k,2021
442,MypmU,07,Left Midfield,Bournemouth,Norwich City,€8.00m,2021
443,RpOQI,36,Centre-Forward,Cardiff,Norwich City,€900k,2021
444,kSNkh,52,Central Midfield,Telstar,Norwich City,€125k,2021
445,iqdXs,12,Attacking Midfield,Waasl.-Beveren,Norwich City,€1.50m,2021
446,GqqGG,77,Left Winger,Doncaster,Norwich City,€700k,2021
447,WylVC,67,Centre-Back,FC Basel,Norwich City,€300k,2021
448,AzBbj,92,Left Winger,Middlesbrough,Norwich City,€1.20m,2021
449,OXIep,94,Centre-Back,Hibernian FC,Norwich City,€400k,2021
450,YbEju,26,Right-Back,Peterborough,Norwich City,€900k,2021
451,JKgvy,98,Left Winger,MK Dons,Norwich City,€700k,2021
452,EWSfA,88,Goalkeeper,Barnet,Norwich City,€150k,2021
453,adOWy,80,Goalkeeper,Livingston FC,Norwich City,€250k,2021
454,Sopow,20,Centre-Forward,FC Porto B,Norwich City,€350k,2021
455,gNcnD,58,Centre-Back,Charlton,Norwich City,€300k,2021
456,sLtVy,35,Left-Back,QPR,Norwich City,€3.00m,2021
457,YUOjs,73,Attacking Midfield,Huddersfield,Norwich City,€1.50m,2021
458,rEqwX,96,Central Midfield,Gillingham FC,Norwich City,€125k,2021
459,WzEqm,46,Centre-Forward,West Brom,Norwich City,€900k,2021
460,qvstb,44,Right Winger,Norwich City,Aston Villa,€28.00m,2021
461,bVtfj,60,Central Midfield,Norwich City,Stoke City,€300k,2021
462,mevPo,76,Attacking Midfield,Norwich City,SC Paderborn,€250k,2021
463,UAHoB,77,Goalkeeper,Norwich City,Bournemouth,€600k,2021
464,PvqTK,88,Left-Back,Norwich City,Karlsruher SC,€700k,2021
465,AKyfL,21,Defensive Midfield,Norwich City,Hannover 96,€800k,2021
466,ikxup,97,Central Midfield,Norwich City,FC Zürich,€200k,2021
467,RLtYq,28,Central Midfield,Norwich City,Portsmouth,€200k,2021
468,PWGTu,40,Right-Back,Norwich City,Peterborough,€900k,2021
469,KnhmZ,93,Goalkeeper,Norwich City,Livingston FC,€250k,2021
470,LnwTf,49,Left-Back,Norwich City,QPR,€3.00m,2021
471,JgPsk,71,Left Winger,Norwich City,Middlesbrough,€1.20m,2021
472,CQXEf,88,Attacking Midfield,Norwich City,Huddersfield,€1.50m,2021
473,iRyrH,42,Central Midfield,Norwich City,Gillingham FC,€125k,2021
474,NvuUr,17,Centre-Forward,Norwich City,West Brom,€900k,2021
475,Wnwiu,03,Centre-Back,Norwich City,Charlton,€300k,2021
476,VOJOa,27,Centre-Forward,Norwich City,FC Porto B,€350k,2021
477,MKhHj,33,Goalkeeper,Norwich City,Barnet,€150k,2021
478,ZOQXr,41,Left Winger,Norwich City,MK Dons,€700k,2021
479,KNjoz,58,Centre-Back,Norwich City,Hibernian FC,€400k,2021
480,VasfP,80,Left Winger,Norwich City,Birmingham,€1.20m,2021
481,DUAXJ,75,Left Winger,Norwich City,Doncaster,€700k,2021
482,VffqF,87,Centre-Forward,Norwich City,Livingston FC,€350k,2021
483,Spstc,20,Centre-Forward,Norwich City,Cardiff,€900k,2021
484,eQXYY,02,Left Midfield,Norwich City,Bournemouth,€8.00m,2021
485,qbUOp,05,Left-Back,Norwich City,Villarreal,€1.00m,2021
486,DhuQY,85,Left-Back,Norwich City,PAOK Salonika,€4.00m,2021
487,hIadv,65,Left-Back,Norwich City,Manchester United,€10.00m,2021
488,pZhNN,79,Central Midfield,Norwich City,Chelsea,€9.00m,2021
489,VuXiX,30,Centre-Forward,Blackburn Rovers,Southampton FC,€12.00m,2021
490,bRtsH,75,Left-Back,Stade Brestois,Southampton FC,€12.00m,2021
491,leNED,76,Centre-Back,Torino,Southampton FC,€4.00m,2021
492,gQCQz,93,Right-Back,Chelsea U23,Southampton FC,€25.00m,2021
493,zdjre,73,Right Winger,Everton,Southampton FC,€1.80m,2021
494,bVSxG,18,Centre-Forward,Chelsea U23,Southampton FC,€30.00m,2021
495,nqfPH,64,Centre-Forward,Lincoln City,Southampton FC,€900k,2021
496,TyYMb,23,Centre-Back,Lazio,Southampton FC,€2.00m,2021
497,TVOOQ,99,Centre-Forward,Cheltenham,Southampton FC,€900k,2021
498,sSuqb,65,Left Winger,Celtic,Southampton FC,€12.00m,2021
499,DRdGd,01,Centre-Forward,Southampton FC,Aston Villa,€16.00m,2021
500,tyOFX,21,Centre-Back,Southampton FC,Leicester,€5.00m,2021
501,ymozm,77,Goalkeeper,Southampton FC,Norwich City,€3.00m,2021
502,GpokG,42,Defensive Midfield,Southampton FC,OGC Nice,€10.00m,2021
503,hjzQw,74,Centre-Forward,Southampton FC,Swansea,€4.00m,2021
504,psPLa,96,Left-Back,Southampton FC,Leicester,€1.00m,2021
505,NgJYy,38,Attacking Midfield,Southampton FC,Eastleigh,-,2021
506,rzgdd,47,Centre-Back,Southampton FC,RSC Anderlecht,€2.00m,2021
507,aviaa,10,Centre-Forward,Southampton FC,Cheltenham,€900k,2021
508,Suyky,98,Centre-Forward,Southampton FC,Lincoln City,€900k,2021
509,YTuYH,72,Centre-Forward,Southampton FC,Chelsea U23,€30.00m,2021
510,etoot,16,Left Winger,Southampton FC,Liverpool,€8.00m,2021
511,eveXC,58,Right-Back,Barcelona,Tottenham Hotspur,€25.00m,2021
512,ZSYQr,08,Left Winger,Sevilla FC,Tottenham Hotspur,€12.00m,2021
513,ECFLt,91,Central Midfield,Juventus,Tottenham Hotspur,€40.00m,2021
514,pkHlJ,92,Central Midfield,FC Metz,Tottenham Hotspur,€15.00m,2021
515,AAZFG,44,Right Winger,Juventus,Tottenham Hotspur,€55.00m,2021
516,BYVqz,27,Centre-Back,Atalanta BC,Tottenham Hotspur,€60.00m,2021
517,OhloJ,22,Goalkeeper,Atalanta BC,Tottenham Hotspur,€5.00m,2021
518,ARTAM,98,Centre-Back,Celtic,Tottenham Hotspur,€11.00m,2021
519,DumeI,45,Goalkeeper,Tottenham U23,Tottenham Hotspur,€300k,2021
520,MiMCe,14,Left Winger,Sunderland,Tottenham Hotspur,€8.00m,2021
521,vAria,42,Goalkeeper,Degerfors,Tottenham Hotspur,€500k,2021
522,EBXCK,02,Goalkeeper,Elche CF,Tottenham Hotspur,€2.50m,2021
523,YLMTg,35,Left Midfield,TSG Hoffenheim,Tottenham Hotspur,€22.00m,2021
524,LUOLr,23,Right-Back,Villarreal,Tottenham Hotspur,€25.00m,2021
525,xwYXk,87,Right-Back,Tottenham Hotspur,Villarreal,€25.00m,2021
526,NKEel,15,Centre-Back,Tottenham Hotspur,Al-Duhail SC,€4.00m,2021
527,xPmiq,99,Central Midfield,Tottenham Hotspur,Watford,€3.50m,2021
528,MzGJg,18,Central Midfield,Tottenham Hotspur,Olympique Lyon,€25.00m,2021
529,uYvCA,07,Goalkeeper,Tottenham Hotspur,Celtic,€1.70m,2021
530,HaftX,22,Left Winger,Tottenham Hotspur,Valencia,€12.00m,2021
531,UBDwj,36,Attacking Midfield,Tottenham Hotspur,Everton,€11.00m,2021
532,rjZRT,64,Right Winger,Tottenham Hotspur,Sevilla FC,€10.00m,2021
533,YGMNc,38,Goalkeeper,Tottenham Hotspur,Fulham,€2.50m,2021
534,ZTIxb,52,Left-Back,Tottenham Hotspur,Watford,€1.00m,2021
535,aAPjL,06,Central Midfield,Tottenham Hotspur,FC Metz,€15.00m,2021
536,YKzXG,77,Left Winger,Tottenham Hotspur,Sunderland,€8.00m,2021
537,pVbFG,74,Central Midfield,Tottenham Hotspur,Villarreal,€18.00m,2021
538,NbiYg,69,Goalkeeper,Tottenham Hotspur,Degerfors,€500k,2021
539,YaNdE,90,Goalkeeper,Tottenham Hotspur,Degerfors,€500k,2021
540,CvZfs,98,Centre-Back,Tottenham Hotspur,Celtic,€11.00m,2021
541,loidD,47,Centre-Forward,Tottenham Hotspur,Benfica,€5.00m,2021
542,EJNtM,94,Right Winger,Tottenham Hotspur,Real Madrid,-,2021
543,NTyAQ,23,Central Midfield,FC Nantes,Watford FC,€9.00m,2021
544,zfnDH,12,Goalkeeper,Sparta R.,Watford FC,€2.50m,2021
545,CKFQB,46,Centre-Back,Udinese Calcio,Watford FC,€7.00m,2021
546,PiCvA,87,Defensive Midfield,KAS Eupen,Watford FC,€5.00m,2021
547,wBQgF,23,Centre-Forward,Club Brugge,Watford FC,€10.00m,2021
548,VpeYo,28,Left-Back,OGC Nice,Watford FC,€8.00m,2021
549,xDfSI,85,Central Midfield,Tottenham Hotspur,Watford FC,€3.50m,2021
550,rrqPz,58,Attacking Midfield,Envigado,Watford FC,€3.00m,2021
551,mOeUK,89,Right Winger,G. Bordeaux,Watford FC,€3.00m,2021
552,HqWjB,53,Central Midfield,Fenerbahce,Watford FC,€3.20m,2021
553,hCeJp,51,Centre-Back,Grimsby Town,Watford FC,€300k,2021
554,LCAmZ,63,Centre-Forward,Everton,Watford FC,€6.00m,2021
555,KZKil,84,Left Winger,Rochdale,Watford FC,€400k,2021
556,LGmQa,43,Centre-Forward,Middlesbrough,Watford FC,€800k,2021
557,DNotu,70,Left-Back,Tottenham Hotspur,Watford FC,€1.00m,2021
558,VdRnn,83,Central Midfield,Stoke City,Watford FC,€1.50m,2021
559,qlFgT,74,Central Midfield,Parma,Watford FC,€1.50m,2021
560,qzmqt,96,Central Midfield,UD Ibiza,Watford FC,€200k,2021
561,JiuAV,57,Central Midfield,Granada CF,Watford FC,€1.80m,2021
562,wfPaS,11,Centre-Forward,CSKA-Sofia,Watford FC,-,2021
563,aONPQ,87,Goalkeeper,Gillingham FC,Watford FC,€1.00m,2021
564,npqJa,33,Centre-Back,Atl. Nacional,Watford FC,€250k,2021
565,doLMP,10,Central Midfield,Barnsley FC,Watford FC,€1.80m,2021
566,NmRnf,87,Centre-Forward,Getafe,Watford FC,€10.00m,2021
567,cWgTR,03,Goalkeeper,Doncaster,Watford FC,€1.00m,2021
568,BCGIx,85,Central Midfield,Fulham,Watford FC,€1.80m,2021
569,wyBbX,80,Centre-Forward,QPR,Watford FC,€2.00m,2021
570,PJcDz,85,Right Winger,Nottm Forest,Watford FC,€3.50m,2021
571,beNXT,82,Central Midfield,Reading,Watford FC,€2.00m,2021
572,nuoKc,42,Centre-Back,Cheltenham,Watford FC,€300k,2021
573,HFEba,75,Central Midfield,Watford FC,Crystal Palace,€5.00m,2021
574,PfKzx,51,Centre-Back,Watford FC,West Ham,€2.50m,2021
575,haFsa,13,Centre-Forward,Watford FC,Udinese Calcio,€4.00m,2021
576,aaKWk,99,Centre-Back,Watford FC,Stoke City,€6.00m,2021
577,OXwtP,13,Central Midfield,Watford FC,Hemel,-,2021
578,GLkCC,57,Centre-Forward,Watford FC,Birmingham,€600k,2021
579,JbBaH,02,Central Midfield,Watford FC,Betis Deportivo,€200k,2021
580,RKNGQ,55,Centre-Forward,Watford FC,Metalac,-,2021
581,QJdiC,10,Defensive Midfield,Watford FC,Fulham,€2.50m,2021
582,FElSA,89,Left-Back,Watford FC,Portimonense,€300k,2021
583,acmvF,86,Goalkeeper,Watford FC,Doncaster,€1.00m,2021
584,Ktydm,50,Goalkeeper,Watford FC,Sparta R.,€2.50m,2021
585,wxuSX,75,Central Midfield,Watford FC,Fulham,€1.80m,2021
586,lzImg,43,Goalkeeper,Watford FC,Gillingham FC,€1.00m,2021
587,eLGSk,74,Centre-Forward,Watford FC,M. Tel Aviv,€1.50m,2021
588,dbbOQ,77,Centre-Forward,Watford FC,QPR,€2.00m,2021
589,znRzL,54,Centre-Forward,Watford FC,New York RB,€800k,2021
590,qgbqT,86,Centre-Back,Watford FC,Cheltenham,€300k,2021
591,FADwt,13,Central Midfield,Watford FC,Barnsley FC,€1.80m,2021
592,nvZVS,13,Attacking Midfield,Watford FC,Envigado,€3.00m,2021
593,fRDXv,98,Central Midfield,Watford FC,Reading,€2.00m,2021
594,wtvWZ,70,Centre-Back,Watford FC,CD América,€250k,2021
595,jVABA,54,Right Winger,Watford FC,Nottm Forest,€3.50m,2021
596,GapEG,78,Left Winger,Watford FC,UD Las Palmas,€600k,2021
597,xShnk,02,Central Midfield,Watford FC,Fenerbahce,€3.20m,2021
598,YRHRI,59,Central Midfield,Watford FC,Stoke City,€1.50m,2021
599,slUKc,06,Centre-Back,Chelsea,West Ham United,€28.00m,2021
600,DfhqW,99,Attacking Midfield,CSKA Moscow,West Ham United,€20.00m,2021
601,CTNtN,07,Defensive Midfield,Spartak Moscow,West Ham United,€5.50m,2021
602,TitZh,72,Centre-Back,Watford,West Ham United,€2.50m,2021
603,JnwkF,54,Goalkeeper,Paris St-Germain,West Ham United,€8.00m,2021
604,dTYWN,73,Centre-Back,Sunderland,West Ham United,€600k,2021
605,UkAYm,38,Right Winger,FC Porto,West Ham United,€15.00m,2021
606,AUDMP,49,Defensive Midfield,Peterborough,West Ham United,€1.50m,2021
607,snjNF,40,Defensive Midfield,MK Dons,West Ham United,€1.50m,2021
608,VJIIb,52,Right Winger,Aris Saloniki,West Ham United,€800k,2021
609,PbnDz,93,Right Winger,West Ham United,Lazio,€15.00m,2021
610,tXzQc,54,Centre-Back,West Ham United,Bröndby IF,€600k,2021
611,lSYuh,39,Right Winger,West Ham United,Nottm Forest,€800k,2021
612,zrnsP,32,Centre-Back,West Ham United,Dynamo Moscow,€4.00m,2021
613,JllqF,21,Centre-Back,West Ham United,Sunderland,€600k,2021
614,aRROK,89,Defensive Midfield,West Ham United,Peterborough,€1.50m,2021
615,qlvCk,87,Defensive Midfield,West Ham United,MK Dons,€1.50m,2021
616,TbtIp,82,Left-Back,Angers SCO,Wolverhampton Wanderers,€22.00m,2021
617,kipAY,89,Goalkeeper,Olympiacos,Wolverhampton Wanderers,€18.00m,2021
618,wCjmS,56,Right Winger,Barcelona,Wolverhampton Wanderers,€15.00m,2021
619,mQzMz,29,Centre-Back,Atl. Nacional,Wolverhampton Wanderers,€3.00m,2021
620,Uhamb,60,Left Winger,Estoril Praia,Wolverhampton Wanderers,€2.50m,2021
621,pAFKT,02,Right-Back,Fehérvár,Wolverhampton Wanderers,€2.70m,2021
622,KWyHX,89,Centre-Forward,Suwon Bluewings,Wolverhampton Wanderers,€2.00m,2021
623,xvKlB,93,Central Midfield,Grasshoppers,Wolverhampton Wanderers,€2.00m,2021
624,KxbmW,52,Goalkeeper,Man City U23,Wolverhampton Wanderers,€200k,2021
625,peWWZ,56,Centre-Forward,RB Leipzig,Wolverhampton Wanderers,€12.00m,2021
626,lJiZP,94,Central Midfield,Wolves U21,Wolverhampton Wanderers,€1.00m,2021
627,nRVXc,35,Goalkeeper,Birmingham,Wolverhampton Wanderers,€2.00m,2021
628,IAmRN,05,Centre-Forward,SD Huesca,Wolverhampton Wanderers,€10.00m,2021
629,YOnYe,87,Goalkeeper,Ebbsfleet,Wolverhampton Wanderers,€200k,2021
630,TKCQH,74,Central Midfield,Grasshoppers,Wolverhampton Wanderers,€800k,2021
631,oxEzQ,15,Centre-Back,Grasshoppers,Wolverhampton Wanderers,€2.50m,2021
632,nSRdJ,35,Central Midfield,Famalicão,Wolverhampton Wanderers,€1.60m,2021
633,zlerl,98,Centre-Forward,Famalicão,Wolverhampton Wanderers,€3.00m,2021
634,VZnuv,41,Left-Back,Famalicão,Wolverhampton Wanderers,€5.00m,2021
635,eSYhr,73,Right-Back,Grasshoppers,Wolverhampton Wanderers,€250k,2021
636,wyUlR,92,Centre-Forward,Valencia,Wolverhampton Wanderers,€2.50m,2021
637,IocVM,20,Attacking Midfield,Sheffield United,Wolverhampton Wanderers,€30.00m,2021
638,vHATt,59,Centre-Forward,Grasshoppers,Wolverhampton Wanderers,€3.00m,2021
639,ZqQXg,39,Central Midfield,St. Mirren,Wolverhampton Wanderers,€800k,2021
640,pSBbs,06,Centre-Forward,Wolverhampton Wanderers,Sevilla FC,€10.00m,2021
641,kWTHK,17,Goalkeeper,Wolverhampton Wanderers,AS Roma,€5.00m,2021
642,LsIHy,33,Defensive Midfield,Wolverhampton Wanderers,Club Brugge,€600k,2021
643,DpAUK,09,Goalkeeper,Wolverhampton Wanderers,Ebbsfleet,€200k,2021
644,oQGMu,13,Central Midfield,Wolverhampton Wanderers,St. Mirren,€800k,2021
645,yVvJa,34,Centre-Forward,Wolverhampton Wanderers,Grasshoppers,€3.00m,2021
646,qTtaj,09,Centre-Forward,Wolverhampton Wanderers,Miami,€3.00m,2021
647,oDAuZ,05,Central Midfield,Wolverhampton Wanderers,Grasshoppers,€2.00m,2021
648,UmYoU,09,Centre-Forward,Wolverhampton Wanderers,Grasshoppers,€2.00m,2021
649,ioCXE,17,Attacking Midfield,Wolverhampton Wanderers,Sheffield United,€30.00m,2021
650,Gulnm,28,Right Winger,Wolverhampton Wanderers,Barcelona,€12.00m,2021
651,SCycF,95,Central Midfield,Wolverhampton Wanderers,Grasshoppers,€1.60m,2021
652,PnCff,11,Goalkeeper,Wolverhampton Wanderers,Birmingham,€2.00m,2021
653,LfZQV,35,Centre-Forward,Wolverhampton Wanderers,Tondela,€1.00m,2021
654,Kuork,37,Centre-Forward,Wolverhampton Wanderers,FC Empoli,€2.50m,2021
655,Zitkr,96,Central Midfield,Wolverhampton Wanderers,FC Porto,€42.00m,2021
656,mdCbB,52,Left-Back,Wolverhampton Wanderers,Angers SCO,€22.00m,2021
657,CFCkU,25,Centre-Forward,Wolverhampton Wanderers,Real Sociedad,€7.00m,2021
658,xLUKd,74,Right-Back,Wolverhampton Wanderers,Grasshoppers,€2.70m,2021
659,zvGTg,13,Centre-Forward,Manchester City,Arsenal FC,€75.00m,2022
660,lrabx,74,Left-Back,Manchester City,Arsenal FC,€40.00m,2022
661,vJfAG,97,Attacking Midfield,FC Porto,Arsenal FC,€27.00m,2022
662,Cmgri,15,Centre-Back,Spezia Calcio,Arsenal FC,€20.00m,2022
663,IpwhP,75,Left Winger,Brighton & Hove Albion,Arsenal FC,€30.00m,2022
664,LnhYo,64,Defensive Midfield,Chelsea,Arsenal FC,€35.00m,2022
665,fMORK,38,Goalkeeper,New England,Arsenal FC,€5.00m,2022
666,diTHi,36,Right Winger,São Paulo,Arsenal FC,€12.00m,2022
667,ZrXne,15,Centre-Forward,Arsenal U21,Arsenal FC,€25.00m,2022
668,sjUEp,80,Goalkeeper,OH Leuven,Arsenal FC,€1.30m,2022
669,ckmvy,44,Centre-Back,VfB Stuttgart,Arsenal FC,€15.00m,2022
670,dtTrA,85,Central Midfield,Crystal Palace,Arsenal FC,€15.00m,2022
671,ImlKF,71,Central Midfield,Marseille,Arsenal FC,€25.00m,2022
672,GUOSz,52,Centre-Back,Marseille,Arsenal FC,€55.00m,2022
673,Dddfo,35,Right Winger,Norwich City,Arsenal FC,€12.00m,2022
674,euzqi,39,Defensive Midfield,Fiorentina,Arsenal FC,€15.00m,2022
675,mSHVB,04,Right Winger,Feyenoord,Arsenal FC,€7.00m,2022
676,BUeXY,77,Right-Back,Real Betis,Arsenal FC,€8.00m,2022
677,dhoFc,23,Right Midfield,Southampton,Arsenal FC,€8.00m,2022
678,agIDO,69,Right Midfield,AS Roma,Arsenal FC,€8.00m,2022
679,GOuxt,25,Centre-Back,Udinese Calcio,Arsenal FC,€5.00m,2022
680,BKoAQ,29,Centre-Back,Colorado,Arsenal FC,€9.00m,2022
681,bUurH,97,Centre-Back,Birmingham,Arsenal FC,€9.00m,2022
682,ZmYsI,83,Central Midfield,Arsenal FC,Marseille,€25.00m,2022
683,qTlxE,34,Defensive Midfield,Arsenal FC,Galatasaray,€15.00m,2022
684,JqnJj,87,Goalkeeper,Arsenal FC,Fulham,€10.00m,2022
685,brwEK,45,Centre-Back,Arsenal FC,VfB Stuttgart,€15.00m,2022
686,UELvB,14,Centre-Forward,Arsenal FC,Olympique Lyon,€12.00m,2022
687,DPeBN,06,Right-Back,Arsenal FC,Barcelona,€8.00m,2022
688,aGObD,90,Goalkeeper,Arsenal FC,Alanyaspor,€1.30m,2022
689,uovXt,27,Right Winger,Arsenal FC,OGC Nice,€22.00m,2022
690,AXmax,36,Right Midfield,Arsenal FC,Southampton,€8.00m,2022
691,CYGwe,76,Centre-Back,Arsenal FC,Monza,€5.00m,2022
692,pJrMB,54,Right Winger,Arsenal FC,Norwich City,€12.00m,2022
693,DauTO,43,Central Midfield,Arsenal FC,Crystal Palace,€15.00m,2022
